acc,accm,amloc,anpm,cbo,dit,lcom4,loc,noa,noc,nom,npa,npm,rfc,sc, good_design
0,1.3333333333,5.6666666667,1.6666666667,4,0,3,17,3,0,3,3,3,7,12,1
1,1,1,1.9,0,0,10,10,0,1,10,0,10,10,0,1
1,1.6,8.7,2.4,4,5,8,87,4,0,10,4,10,23,32,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1.0769230769,16.3846153846,1.6153846154,16,0,13,213,0,0,13,0,13,98,208,1
2,3.4090909091,24.6363636364,1.7727272727,17,0,5,542,21,0,22,21,22,111,85,0
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
2,0,0,0,0,0,0,0,6,0,0,6,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
1,0,0,0,0,0,0,0,4,0,0,4,0,0,0,1
2,0,0,0,0,0,0,0,3,0,0,3,0,0,0,1
0,2,27,2,0,0,1,27,0,0,1,0,1,4,0,1
0,1,4,1,0,0,1,4,0,0,1,0,1,1,0,1
0,2.5,23,1,1,0,2,46,1,0,2,1,2,7,2,1
1,1.4,11.6,1.2,6,0,1,116,1,0,10,1,10,44,6,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
2,1.6,8.8,0.8,2,0,2,44,2,0,5,0,5,13,4,1
0,2.6666666667,16.1666666667,1.6666666667,6,0,1,97,0,0,6,0,6,30,6,1
0,2.5,14.3333333333,3.6666666667,8,0,3,86,0,0,6,0,6,29,24,1
0,3.2,16.8,1.6,8,0,1,84,3,0,5,3,5,33,8,1
0,2.75,17.25,2.75,5,0,1,138,0,0,8,0,8,44,5,1
0,1.5,10,1,4,0,1,20,0,0,2,0,2,7,4,1
0,2.25,14.25,1.5,7,0,1,57,0,0,4,0,4,23,7,1
1,2,10.6,2,5,0,1,53,0,0,5,0,5,23,5,1
0,2.25,9.75,1.5,5,0,1,78,0,0,8,0,8,48,5,1
0,2.75,20.7,2,6,0,1,414,0,0,20,0,20,136,6,1
1,2.3333333333,22.2380952381,3,11,0,1,467,0,0,21,0,21,153,11,1
0,3.3333333333,17,1.8333333333,5,0,1,102,0,0,6,0,6,36,5,1
1,0,0,0,0,0,0,0,2,0,0,2,0,0,0,1
0,2,9,1,0,0,1,9,2,0,1,2,1,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1.7272727273,5.9090909091,0.9090909091,2,0,6,65,4,1,11,0,5,40,12,1
0,1.5,4.5,0.75,2,1,4,18,0,0,4,0,2,13,8,1
25,1.6666666667,6.4,0.8,5,0,8,96,6,7,15,1,13,36,40,1
0,1,5.1428571429,1.2857142857,2,1,7,36,3,0,7,1,7,12,14,1
2,1,4.4285714286,0.8571428571,2,1,7,31,4,0,7,1,7,12,14,1
3,1,3,0.75,1,1,4,12,2,2,4,1,4,8,4,1
1,1,3.3333333333,0.3333333333,1,2,6,20,4,0,6,1,6,11,6,1
0,1,4,1,1,2,2,8,1,0,2,1,2,3,2,1
1,1,4.2,0.6,1,1,5,21,2,0,5,1,5,6,5,1
2,1.5,5.25,0.75,1,1,4,21,6,0,4,1,4,7,4,1
1,1,3.6,1,1,1,5,18,3,0,5,1,5,6,5,1
0,1,3,0.5714285714,1,1,7,21,4,0,7,1,7,8,7,1
0,1.5,4,0.5,0,0,2,8,1,0,2,0,2,2,0,1
1,1.3,4.2,0.8,1,0,8,42,3,0,10,0,6,16,8,1
9,1,1,0,0,0,2,2,1,8,2,0,2,2,0,1
1,1.8333333333,7,0.8333333333,3,1,4,42,3,0,6,0,3,16,12,1
1,1,5,2,0,0,1,5,3,0,1,3,1,1,0,1
4,2.1666666667,7.8333333333,0.8333333333,5,1,5,47,5,0,6,0,3,24,25,1
0,2.1666666667,7.6666666667,0.8333333333,4,1,6,46,3,0,6,0,3,17,24,1
0,1.3333333333,3,0.6666666667,1,1,6,18,1,0,6,0,3,8,6,1
0,1.3333333333,3,0.6666666667,1,1,6,18,1,0,6,0,3,8,6,1
